year,global_plastic_prod,macroplastic,microplastic
1950,2000000,0,0
1951,2000000,400,0
1952,2000000,600,0
1953,3000000,1000,0
1954,3000000,1300,100
1955,4000000,1800,100
1956,5000000,2400,200
1957,5000000,3000,200
1958,6000000,3800,300
1959,7000000,4600,400
1960,8000000,5600,600
1961,9000000,6700,700
1962,11000000,8100,900
1963,13000000,9600,1200
1964,15000000,11500,1500
1965,17000000,13500,1800
1966,20000000,16000,2200
1967,23000000,18800,2700
1968,27000000,22000,3300
1969,32000000,25900,3900
1970,35000000,30200,4700
1971,38000000,34900,5600
1972,44000000,40300,6600
1973,51000000,46500,7900
1974,52000000,53100,9300
1975,46000000,59200,10800
1976,54000000,66200,12600
1977,59000000,73600,14600
1978,64000000,81600,16800
1979,71000000,90400,19300
1980,70000000,99300,22000
1981,72000000,108400,25000
1982,73000000,117800,28200
1983,80000000,127800,31700
1984,86000000,138500,35600
1985,90000000,149600,39700
1986,96000000,161300,44200
1987,104000000,174000,49100
1988,110000000,187300,54300
1989,114000000,201200,59900
1990,120000000,215900,65900
1991,124000000,231000,72400
1992,132000000,247000,79300
1993,137000000,263600,86800
1994,151000000,281600,94700
1995,156000000,300200,103100
1996,168000000,320200,112100
1997,180000000,341500,121700
1998,188000000,363900,132000
1999,202000000,387800,142900
2000,213000000,413100,154500
2001,218000000,439200,166900
2002,231000000,466800,180100
2003,241000000,495500,194100
2004,256000000,525900,209000
2005,263000000,557100,224700
2006,280000000,590200,241400
2007,295000000,625000,259200
2008,281000000,658800,277900
2009,288000000,693400,297700
2010,313000000,730100,318500
2011,325000000,768000,340400
2012,338000000,807200,363400
2013,352000000,847900,387600
2014,367000000,890200,413100
2015,381000000,934100,439800
