Cleanup_ID,Country,State,Zone,GPS,Cleanup_type,Cleanup_date,Animal,Animal_Status,
3837,United States,"Washington, USA","Seattle, WA, USA","47.7116232, -122.3721688",land,09/09/2016,crow,dead,
5406,United States,"Nebraska, USA","Keith County, NE, USA","41.244772343082, -101.6015625",land,08/01/2016,Elit et aliqua Est aperiam sed aliquam amet consequatur qui sequi,dead,
5411,United States,"Maryland, USA","Worcester County, MD, USA","38.0764591, -75.3645238",land,09/17/2016,seagull,dead,
5412,United States,"Maryland, USA","Worcester County, MD, USA","38.0764591, -75.3645238",land,09/17/2016,seagull,dead,
5413,United States,"Maryland, USA","Worcester County, MD, USA","38.0412873, -75.3613374",land,09/17/2016,Deer,dead,
5435,U.S. Virgin Islands,"St Thomas 00802, USVI","Charlotte Amalie West, St Thomas 00802, USVI","18.3427765, -64.9762254",land,09/17/2016,Pearly-eyed thrasher (Margarops fuscatus),dead,
5438,,"Washington, USA","Seattle, WA, USA","47.585242827962, -122.39966601133",land,09/17/2016,seagull without foot,injured,
5438,,"Washington, USA","Seattle, WA, USA","47.585242827962, -122.39966601133",land,09/17/2016,heron,dead,
5438,,"Washington, USA","Seattle, WA, USA","47.585242827962, -122.39966601133",land,09/17/2016,cat,dead,
5441,United States,"Washington, USA","Seattle, WA, USA","47.6226119, -122.3664186",land,09/17/2016,bird,dead,
5441,United States,"Washington, USA","Seattle, WA, USA","47.6226119, -122.3664186",land,09/17/2016,bird,dead,
5446,Guam,,"Yona, Guam","13.410326111753, 144.78375434875",land,09/17/2016,Dog,dead,
5447,Guam,,"Dededo, Guam","13.537745584423, 144.83132064342",land,09/17/2016,Dog,dead,
5447,Guam,,"Dededo, Guam","13.537745584423, 144.83132064342",land,09/17/2016,Frog,dead,
5447,Guam,,"Dededo, Guam","13.537745584423, 144.83132064342",land,09/17/2016,Frog,dead,
5477,Puerto Rico,"Arroyo, Puerto Rico","Arroyo, 00714, Puerto Rico","17.9658005, -66.0612756",land,09/17/2016,perro,injured,
5504,Puerto Rico,"Humacao, Puerto Rico","Punta Santiago, Humacao 00741, Puerto Rico","18.170644877117, -65.740513801575",land,09/17/2016,Small crab,dead,
5504,Puerto Rico,"Humacao, Puerto Rico","Punta Santiago, Humacao 00741, Puerto Rico","18.170644877117, -65.740513801575",land,09/17/2016,Small Crab,dead,
5504,Puerto Rico,"Humacao, Puerto Rico","Punta Santiago, Humacao 00741, Puerto Rico","18.170644877117, -65.740513801575",land,09/17/2016,Fish,dead,
5505,United States,"California, USA","Alameda, CA, USA","37.7652065, -122.2416355",land,09/14/2016,1,dead,
5519,United States,"Hawaii, USA","Kahului, HI, USA","20.897263, -156.4784885",land,09/17/2016,pufferfish,dead,
5519,United States,"Hawaii, USA","Kahului, HI, USA","20.897263, -156.4784885",land,09/17/2016,eel,dead,
5519,United States,"Hawaii, USA","Kahului, HI, USA","20.897263, -156.4784885",land,09/17/2016,chicken,dead,
5519,United States,"Hawaii, USA","Kahului, HI, USA","20.897263, -156.4784885",land,09/17/2016,pigeon,dead,
